From,To,Subject,Content,Timestamp
adminoffice@acropolis.in,undisclosed-recipients:;,Notice - National Scholarship Portal,PFA Important Link: https://scholarships.gov.in/ https://myaadhaar.uidai.gov.in/ https://aitr.ac.in/scholarship/ PFAImportant Link: https://scholarships.gov.in/ https://myaadhaar.uidai.gov.in/https://aitr.ac.in/scholarship/,2024-09-05 15:16:16
adminoffice@acropolis.in,undisclosed-recipients:;,CII India We Want: Debate Competition 2025,"*Dear **Student**,* CII India We Want series started as an academic activity within the framework of contests to cultivate students’ creative skills. The activity was enthusiastically accepted by teachers and students. This was evident in the nationwide participation from schools and colleges. This year CII is organizing its *‘‘**5**th Edition Debate Competition’’ *to bring together sharpest young minds from the Academia from different cities who will compete on thought provoking topics. More details are appended in the emailer below. For Registration click on the below link : *https://shorturl.at/AVltz * * * Dear Student, CII India We Want series started as an academic activity within the framework of contests to cultivate students’ creative skills. The activity was enthusiastically accepted by teachers and students. This was evident in the nationwide participation from schools and colleges. This year CII is organizing its ‘‘5th Edition Debate Competition’’ to bring together sharpest young minds from the Academia from different cities who will compete on thought provoking topics. More details are appended in the emailer below.For Registration click on the below link :https://shorturl.at/AVltz",2024-11-28 16:42:30
adminoffice@acropolis.in,undisclosed-recipients:;,CAUTION - Circulation of unauthorized invite to join WhatsApp Group,"*CAUTION* *(Circulation of unauthorized invite to join WhatsApp Group)* It has been reported that students of Acropolis are being invited to join WhatsApp groups for training, internships, and freelance opportunities powered by some multinational companies. A *“Strict Caution”* was issued to all students on 23rd July 2024, advising them not to engage with or join any such groups circulated by unknown individuals without verified identities. The institute does not endorse or promote such unauthorized activities. The institute has established its own processes for internships and training, which all students have to follow. Students are advised to exercise caution and avoid such fraudulent messages to protect their time, energy, and money. CAUTION(Circulation of unauthorized invite to join WhatsApp Group) It has been reported that students of Acropolis are being invited to join WhatsApp groups for training, internships, and freelance opportunities powered by some multinational companies. A “Strict Caution” was issued to all students on 23rd July 2024, advising them not to engage with or join any such groups circulated by unknown individuals without verified identities. The institute does not endorse or promote such unauthorized activities. The institute has established its own processes for internships and training, which all students have to follow. Students are advised to exercise caution and avoid such fraudulent messages to protect their time, energy, and money.",2024-07-25 16:26:36
adminoffice@acropolis.in,undisclosed-recipients:;,Fwd: Important Notice - (ABC-ID Creation for exam forms),*IMPORTANT REMINDER* [image: image.png] IMPORTANT REMINDER,2024-10-22 16:09:48
adminoffice@acropolis.in,undisclosed-recipients:;,Fwd: Important Notice - (ABC-ID Creation for exam forms),*IMPORTANT REMINDER* [image: image.png] IMPORTANT REMINDER,2024-10-19 11:23:44
adminoffice@acropolis.in,undisclosed-recipients:;,Important Notice - (ABC-ID Creation for exam forms),[image: image.png],2024-10-10 14:47:54
adminoffice@acropolis.in,undisclosed-recipients:;,"=?UTF-8?Q?Notice_CII=E2=80=99s_=E2=80=9CThe_India_We_Want=E2=80=9D_Debate_Compet?=
	=?UTF-8?Q?ition_2025?=",8th Nov 2024 *Notice* CII’s *“The India We Want**”* Debate Competition 2025 All the students are hereby by notified for information that CII is organizing its ‘‘5th Edition *“The India We Want”* Debate Competition - 2025 for students to bring together sharpest young minds from the Academia from different cities who will compete on thought provoking topics. Interested student can register and participate in the Debate Competition through the link given below. Link for registration and details of debate competition: https://shorturl.at/AVltz [image: image (2).png] 8th Nov 2024 Notice CII’s “The India We Want” Debate Competition 2025 All the students are hereby by notified for information that CII is organizing its ‘‘5th Edition “The India We Want” Debate Competition - 2025 for students to bring together sharpest young minds from the Academia from different cities who will compete on thought provoking topics. Interested student can register and participate in the Debate Competition through the link given below. Link for registration and details of debate competition: https://shorturl.at/AVltz,2024-11-08 11:23:30
adminoffice@acropolis.in,undisclosed-recipients:;,"=?UTF-8?B?4KSb4KS+4KSk4KWN4KSw4KS14KWN4KSw4KSk4KS/IOCkuOClguCkmuCkqOCkviAtIOCklw==?=
	=?UTF-8?B?4KS+4KSB4KS1IOCkleClgCDgpKzgpYfgpJ/gpYAg4KS14KSw4KWN4KS3IDIwMjQtMjU=?=",[image: image.png] https://hescholarship.mp.gov.in/Public/Check_EKYC.aspx?ID=Mw== http://aitr.ac.in/scholarship https://resident.uidai.gov.in/bank-mapper https://hescholarship.mp.gov.in/Public/Check_EKYC.aspx?ID=Mw== http://aitr.ac.in/scholarshiphttps://resident.uidai.gov.in/bank-mapper,2025-01-20 16:22:55
adminoffice@acropolis.in,undisclosed-recipients:;,Important Notice - Payment of outstanding fee and dues,[image: image.png],2024-10-19 15:13:24
adminoffice@acropolis.in,undisclosed-recipients:;,Sports Notice,[image: image.png],2024-10-03 16:35:13
